time/s	Ewe/V	<I>/mA	cycle number
1.530067561347241E+003	7.6392472E-002	6.138986791484058E-004	1.000000000000000E+000
1.530134361345554E+003	7.6178677E-002	5.589513076926528E-004	1.000000000000000E+000
1.530200961343871E+003	7.5835079E-002	3.743093175738992E-004	1.000000000000000E+000
1.530667561332084E+003	7.3353514E-002	1.724492087440701E-004	1.000000000000000E+000
1.530734361330397E+003	7.3185533E-002	1.523862931251813E-004	1.000000000000000E+000
1.530800961328714E+003	7.2868653E-002	1.363846281890861E-004	1.000000000000000E+000
1.530867561327032E+003	7.2502144E-002	1.151505071419049E-004	1.000000000000000E+000
1.530934361325344E+003	7.2200537E-002	1.013948971245028E-004	1.000000000000000E+000
1.531000961323662E+003	7.1803495E-002	8.798787676573801E-005	1.000000000000000E+000
1.531067561321979E+003	7.1372077E-002	7.393315014252828E-005	1.000000000000000E+000
1.531134161320297E+003	7.1001753E-002	5.729880027513067E-005	1.000000000000000E+000
1.531200961318609E+003	7.0894860E-002	4.736329524841635E-005	1.000000000000000E+000
1.531667561306822E+003	6.8432383E-002	-3.452137950918344E-005	1.000000000000000E+000
1.531734161305139E+003	6.8046786E-002	-3.685312499891860E-005	1.000000000000000E+000
1.531800961303452E+003	6.7611553E-002	-5.790218122467240E-005	1.000000000000000E+000
1.531867561301769E+003	6.7332864E-002	-6.512260797617855E-005	1.000000000000000E+000
1.531934161300087E+003	6.7065611E-002	-7.344457110547632E-005	1.000000000000000E+000
1.532000761298405E+003	6.6702925E-002	-8.454996608623256E-005	1.000000000000000E+000
1.532067561296717E+003	6.6378415E-002	-9.564186553053525E-005	1.000000000000000E+000
1.532534161284930E+003	6.3931212E-002	-1.545346488292592E-004	1.000000000000000E+000
1.532600761283247E+003	6.3599057E-002	-1.664007706159665E-004	1.000000000000000E+000
1.532667561281560E+003	6.3297451E-002	-1.746112140542854E-004	1.000000000000000E+000
1.532734161279877E+003	6.3018754E-002	-1.849884239325775E-004	1.000000000000000E+000
1.532800761278195E+003	6.2804960E-002	-1.806798527770594E-004	1.000000000000000E+000
1.532867561276507E+003	6.2507175E-002	-1.947380100844670E-004	1.000000000000000E+000
1.532934161274825E+003	6.2175024E-002	-2.021090536564029E-004	1.000000000000000E+000
1.533000761273142E+003	6.1816152E-002	-2.118330394790804E-004	1.000000000000000E+000
1.533067361271460E+003	6.1472550E-002	-2.177973016987498E-004	1.000000000000000E+000
1.533134161269772E+003	6.1109863E-002	-2.303313022459777E-004	1.000000000000000E+000
1.533200761268090E+003	6.0762443E-002	-2.335585706362225E-004	1.000000000000000E+000
1.533267361266408E+003	6.0384482E-002	-2.411642879264556E-004	1.000000000000000E+000
1.533334161264720E+003	6.0136326E-002	-2.443388152039328E-004	1.000000000000000E+000
1.533400761263038E+003	5.9907258E-002	-2.558716177853146E-004	1.000000000000000E+000
1.533467361261355E+003	5.9590381E-002	-2.613208839441919E-004	1.000000000000000E+000
1.533534161259668E+003	5.9262052E-002	-2.684463687761440E-004	1.000000000000000E+000
1.533600761257985E+003	5.8800098E-002	-2.730805770630508E-004	1.000000000000000E+000
1.533667361256303E+003	5.8536671E-002	-2.816827948243159E-004	1.000000000000000E+000
1.533734161254615E+003	5.8212157E-002	-2.880476496507785E-004	1.000000000000000E+000
1.533800761252933E+003	5.7944912E-002	-2.921110675374772E-004	1.000000000000000E+000
1.533867361251250E+003	5.7582222E-002	-2.893160274561799E-004	1.000000000000000E+000
1.533934161249563E+003	5.7185173E-002	-3.038368659291743E-004	1.000000000000000E+000
1.534000761247880E+003	5.6715585E-002	-3.079739955832107E-004	1.000000000000000E+000
1.534067361246198E+003	5.6326170E-002	-3.141643790903806E-004	1.000000000000000E+000
1.534133961244515E+003	5.6104738E-002	-3.202156590373789E-004	1.000000000000000E+000
1.534200761242828E+003	5.5803131E-002	-3.317018788685207E-004	1.000000000000000E+000
1.534267361241145E+003	5.5379357E-002	-3.339964703880424E-004	1.000000000000000E+000
1.534333961239463E+003	5.5112112E-002	-3.378965560940526E-004	1.000000000000000E+000
1.534400761237775E+003	5.4814328E-002	-3.354533958383444E-004	1.000000000000000E+000
1.534467361236093E+003	5.4428730E-002	-3.453087133040309E-004	1.000000000000000E+000
1.534533961234411E+003	5.4039314E-002	-3.544612801028840E-004	1.000000000000000E+000
1.534600761232723E+003	5.3691898E-002	-3.612606613672374E-004	1.000000000000000E+000
1.534667361231041E+003	5.3340662E-002	-3.618327103269616E-004	1.000000000000000E+000
1.534733961229358E+003	5.3084865E-002	-3.686334766880850E-004	1.000000000000000E+000
1.534800761227671E+003	5.2745085E-002	-3.770757336814673E-004	1.000000000000000E+000
1.534867361225988E+003	5.2508380E-002	-3.803746164227724E-004	1.000000000000000E+000
1.534933961224306E+003	5.2199140E-002	-3.717544911010051E-004	1.000000000000000E+000
1.535000761222618E+003	5.1714282E-002	-3.857607497407302E-004	1.000000000000000E+000
1.535067361220936E+003	5.1385950E-002	-3.893600158313198E-004	1.000000000000000E+000
1.535133961219253E+003	5.1114891E-002	-3.980097348247500E-004	1.000000000000000E+000
1.535200561217571E+003	5.1023260E-002	-3.998860919227675E-004	1.000000000000000E+000
1.535267361215883E+003	5.0641485E-002	-4.055903848795041E-004	1.000000000000000E+000
1.535333961214201E+003	5.0236795E-002	-4.104861701744421E-004	1.000000000000000E+000
1.535400561212518E+003	4.9916103E-002	-4.129432649295391E-004	1.000000000000000E+000
1.535467361210831E+003	4.9568683E-002	-4.216261854653354E-004	1.000000000000000E+000
1.535533961209148E+003	4.9236532E-002	-4.201510292794457E-004	1.000000000000000E+000
1.535600561207466E+003	4.8831850E-002	-4.280927920576154E-004	1.000000000000000E+000
