time/s	Ewe/V	<I>/mA	cycle number
9.824919751801644E+001	8.0897167E-002	1.079023932106793E-003	1.000000000000000E+000
9.861599750875030E+001	7.9128750E-002	1.536164640258368E-004	1.000000000000000E+000
9.928259749191056E+001	7.5817987E-002	1.459200252065982E-004	1.000000000000000E+000
9.994919747507083E+001	7.2444968E-002	-1.391365057405603E-004	1.000000000000000E+000
1.006157974582311E+002	6.9146529E-002	-3.002284612199889E-004	1.000000000000000E+000
1.012823974413914E+002	6.5839477E-002	-4.508752775761564E-004	1.000000000000000E+000
1.019489974245516E+002	6.2500611E-002	-5.870154676475220E-004	1.000000000000000E+000
1.026156974077094E+002	5.9165850E-002	-7.097061372362806E-004	1.000000000000000E+000
1.032823973908671E+002	5.5791248E-002	-7.333384726498203E-004	1.000000000000000E+000
1.039489973740274E+002	5.2498393E-002	-9.091322132052382E-004	1.000000000000000E+000
1.046155973571877E+002	4.9137484E-002	-9.928197535124771E-004	1.000000000000000E+000
1.052821973403479E+002	4.5854084E-002	-1.062000184110631E-003	1.000000000000000E+000
1.059487973235082E+002	4.2443957E-002	-1.120101991990370E-003	1.000000000000000E+000
1.066153973066685E+002	3.9144259E-002	-1.175898401042898E-003	1.000000000000000E+000
1.072820972898262E+002	3.5810407E-002	-1.219669709777646E-003	1.000000000000000E+000
1.079486972729865E+002	3.2460764E-002	-1.261311262365858E-003	1.000000000000000E+000
1.086153972561442E+002	2.9138783E-002	-1.305372251842886E-003	1.000000000000000E+000
1.092819972393045E+002	2.5771858E-002	-1.343530322401434E-003	1.000000000000000E+000
1.099818972216235E+002	2.2297999E-002	-1.343071000287963E-003	1.000000000000000E+000
1.106817972039426E+002	1.8791383E-002	-1.321453628206445E-003	1.000000000000000E+000
1.113484971871003E+002	1.5525041E-002	-1.445924595666066E-003	1.000000000000000E+000
1.120151971702580E+002	1.2130806E-002	-1.476031388944628E-003	1.000000000000000E+000
1.126817971534183E+002	8.8030379E-003	-1.503467434266634E-003	1.000000000000000E+000
1.133483971365786E+002	5.4508480E-003	-1.442863004688174E-003	1.000000000000000E+000
1.140482971188976E+002	1.9228979E-003	-1.464634113639651E-003	1.000000000000000E+000
1.148482970986879E+002	-2.0420437E-003	-1.513647876203717E-003	1.000000000000000E+000
1.155481970810069E+002	-5.5213803E-003	-1.595763855131337E-003	1.000000000000000E+000
1.162148970641647E+002	-8.8772420E-003	-1.613799122831438E-003	1.000000000000000E+000
1.168814970473250E+002	-1.2211825E-002	-1.654428170819872E-003	1.000000000000000E+000
1.175481970304827E+002	-1.5532680E-002	-1.671966285223436E-003	1.000000000000000E+000
1.182147970136430E+002	-1.8853197E-002	-1.691717858729611E-003	1.000000000000000E+000
1.188813969968032E+002	-2.2202911E-002	-1.707872172490361E-003	1.000000000000000E+000
1.195479969799635E+002	-2.5537306E-002	-1.669871337080252E-003	1.000000000000000E+000
1.202478969622825E+002	-2.9037422E-002	-1.636418319849710E-003	1.000000000000000E+000
1.210145969429141E+002	-3.2900009E-002	-1.680065233574876E-003	1.000000000000000E+000
1.217478969243894E+002	-3.6546469E-002	-1.784968379658976E-003	1.000000000000000E+000
1.224144969075496E+002	-3.9899904E-002	-1.785107677302104E-003	1.000000000000000E+000
1.231144968898661E+002	-4.3367255E-002	-1.745340453360861E-003	1.000000000000000E+000
1.238143968721852E+002	-4.6885680E-002	-1.822166100201798E-003	1.000000000000000E+000
1.244809968553454E+002	-5.0261211E-002	-1.787476403258853E-003	1.000000000000000E+000
1.251475968385057E+002	-5.3538345E-002	-1.816172910383544E-003	1.000000000000000E+000
